Year_Week,year,week,Retail Market,Vegetable,mean_farmer_price
2015-w50,2015,w50,Anuradhapura,ASH PLANTAINS,25.57
2015-w51,2015,w51,Anuradhapura,ASH PLANTAINS,26.0
2015-w52,2015,w52,Anuradhapura,ASH PLANTAINS,26.0
2016-w1,2016,w1,Anuradhapura,ASH PLANTAINS,34.0
2016-w2,2016,w2,Anuradhapura,ASH PLANTAINS,34.0
2016-w3,2016,w3,Anuradhapura,ASH PLANTAINS,34.0
2016-w4,2016,w4,Anuradhapura,ASH PLANTAINS,35.0
2016-w5,2016,w5,Anuradhapura,ASH PLANTAINS,49.5
2016-w6,2016,w6,Anuradhapura,ASH PLANTAINS,64.0
2016-w7,2016,w7,Anuradhapura,ASH PLANTAINS,64.0
2016-w8,2016,w8,Anuradhapura,ASH PLANTAINS,46.0
2016-w9,2016,w9,Anuradhapura,ASH PLANTAINS,35.0
2016-w10,2016,w10,Anuradhapura,ASH PLANTAINS,30.0
2016-w11,2016,w11,Anuradhapura,ASH PLANTAINS,34.5
2016-w12,2016,w12,Anuradhapura,ASH PLANTAINS,39.0
2016-w13,2016,w13,Anuradhapura,ASH PLANTAINS,39.0
2016-w14,2016,w14,Anuradhapura,ASH PLANTAINS,39.0
2016-w15,2016,w15,Anuradhapura,ASH PLANTAINS,46.0
2016-w16,2016,w16,Anuradhapura,ASH PLANTAINS,29.2
2016-w17,2016,w17,Anuradhapura,ASH PLANTAINS,12.4
2016-w18,2016,w18,Anuradhapura,ASH PLANTAINS,20.0
2016-w19,2016,w19,Anuradhapura,ASH PLANTAINS,35.0
2016-w20,2016,w20,Anuradhapura,ASH PLANTAINS,33.34
2016-w21,2016,w21,Anuradhapura,ASH PLANTAINS,31.67
2016-w22,2016,w22,Anuradhapura,ASH PLANTAINS,51.0
2016-w23,2016,w23,Anuradhapura,ASH PLANTAINS,45.0
2016-w24,2016,w24,Anuradhapura,ASH PLANTAINS,45.0
2016-w25,2016,w25,Anuradhapura,ASH PLANTAINS,46.67
2016-w26,2016,w26,Anuradhapura,ASH PLANTAINS,53.33
2016-w27,2016,w27,Anuradhapura,ASH PLANTAINS,50.0
2016-w28,2016,w28,Anuradhapura,ASH PLANTAINS,50.0
2016-w29,2016,w29,Anuradhapura,ASH PLANTAINS,38.33
2016-w30,2016,w30,Anuradhapura,ASH PLANTAINS,40.0
2016-w31,2016,w31,Anuradhapura,ASH PLANTAINS,46.67
2016-w32,2016,w32,Anuradhapura,ASH PLANTAINS,46.67
2016-w33,2016,w33,Anuradhapura,ASH PLANTAINS,50.0
2016-w34,2016,w34,Anuradhapura,ASH PLANTAINS,38.33
2016-w35,2016,w35,Anuradhapura,ASH PLANTAINS,38.33
2016-w36,2016,w36,Anuradhapura,ASH PLANTAINS,38.33
2016-w37,2016,w37,Anuradhapura,ASH PLANTAINS,38.33
2016-w38,2016,w38,Anuradhapura,ASH PLANTAINS,38.33
2016-w39,2016,w39,Anuradhapura,ASH PLANTAINS,38.33
2016-w40,2016,w40,Anuradhapura,ASH PLANTAINS,45.0
2016-w41,2016,w41,Anuradhapura,ASH PLANTAINS,36.67
2016-w42,2016,w42,Anuradhapura,ASH PLANTAINS,50.0
2016-w43,2016,w43,Anuradhapura,ASH PLANTAINS,55.0
2016-w44,2016,w44,Anuradhapura,ASH PLANTAINS,48.33
2016-w45,2016,w45,Anuradhapura,ASH PLANTAINS,45.0
2016-w46,2016,w46,Anuradhapura,ASH PLANTAINS,48.33
2016-w47,2016,w47,Anuradhapura,ASH PLANTAINS,51.67
2016-w48,2016,w48,Anuradhapura,ASH PLANTAINS,48.33
2016-w49,2016,w49,Anuradhapura,ASH PLANTAINS,43.33
2016-w50,2016,w50,Anuradhapura,ASH PLANTAINS,53.33
2016-w51,2016,w51,Anuradhapura,ASH PLANTAINS,38.33
2016-w52,2016,w52,Anuradhapura,ASH PLANTAINS,43.33
2017-w1,2017,w1,Anuradhapura,ASH PLANTAINS,45.0
2017-w2,2017,w2,Anuradhapura,ASH PLANTAINS,35.0
2017-w3,2017,w3,Anuradhapura,ASH PLANTAINS,43.33
2017-w4,2017,w4,Anuradhapura,ASH PLANTAINS,43.33
2017-w5,2017,w5,Anuradhapura,ASH PLANTAINS,43.33
2017-w6,2017,w6,Anuradhapura,ASH PLANTAINS,43.33
2017-w7,2017,w7,Anuradhapura,ASH PLANTAINS,43.33
2017-w8,2017,w8,Anuradhapura,ASH PLANTAINS,55.0
2017-w9,2017,w9,Anuradhapura,ASH PLANTAINS,45.0
2017-w10,2017,w10,Anuradhapura,ASH PLANTAINS,45.0
2017-w11,2017,w11,Anuradhapura,ASH PLANTAINS,45.0
2017-w12,2017,w12,Anuradhapura,ASH PLANTAINS,53.33
2017-w13,2017,w13,Anuradhapura,ASH PLANTAINS,53.33
2017-w14,2017,w14,Anuradhapura,ASH PLANTAINS,53.33
2017-w15,2017,w15,Anuradhapura,ASH PLANTAINS,49.16
2017-w16,2017,w16,Anuradhapura,ASH PLANTAINS,45.0
2017-w17,2017,w17,Anuradhapura,ASH PLANTAINS,45.0
2017-w18,2017,w18,Anuradhapura,ASH PLANTAINS,40.0
2017-w19,2017,w19,Anuradhapura,ASH PLANTAINS,51.67
2017-w20,2017,w20,Anuradhapura,ASH PLANTAINS,48.33
2017-w21,2017,w21,Anuradhapura,ASH PLANTAINS,53.33
2017-w22,2017,w22,Anuradhapura,ASH PLANTAINS,53.33
2017-w23,2017,w23,Anuradhapura,ASH PLANTAINS,55.0
2017-w24,2017,w24,Anuradhapura,ASH PLANTAINS,48.33
2017-w25,2017,w25,Anuradhapura,ASH PLANTAINS,51.67
2017-w26,2017,w26,Anuradhapura,ASH PLANTAINS,51.67
2017-w27,2017,w27,Anuradhapura,ASH PLANTAINS,45.0
2017-w28,2017,w28,Anuradhapura,ASH PLANTAINS,48.33
2017-w29,2017,w29,Anuradhapura,ASH PLANTAINS,50.0
2017-w30,2017,w30,Anuradhapura,ASH PLANTAINS,56.67
2017-w31,2017,w31,Anuradhapura,ASH PLANTAINS,55.0
2017-w32,2017,w32,Anuradhapura,ASH PLANTAINS,55.0
2017-w33,2017,w33,Anuradhapura,ASH PLANTAINS,58.33
2017-w34,2017,w34,Anuradhapura,ASH PLANTAINS,57.5
