Year,Location,Missing_Cells
2020,Hambanthota,712
2021,Hambanthota,551
2022,Hambanthota,26
2023,Hambanthota,24
2024,Hambanthota,182
2008,Hanguranketha,1352
2009,Hanguranketha,517
2010,Hanguranketha,196
2011,Hanguranketha,166
2012,Hanguranketha,587
2013,Hanguranketha,94
2014,Hanguranketha,1352
2015,Hanguranketha,1352
2016,Hanguranketha,1352
2017,Hanguranketha,239
2018,Hanguranketha,50
2019,Hanguranketha,520
2020,Hanguranketha,727
2021,Hanguranketha,581
2022,Hanguranketha,79
2023,Hanguranketha,36
2024,Hanguranketha,119
2008,Jaffna,1352
2009,Jaffna,1352
2010,Jaffna,1352
2011,Jaffna,852
2012,Jaffna,930
2013,Jaffna,1104
2014,Jaffna,263
2015,Jaffna,551
2016,Jaffna,382
2017,Jaffna,1231
2018,Jaffna,290
2019,Jaffna,558
2020,Jaffna,1330
2021,Jaffna,1014
2022,Jaffna,456
2023,Jaffna,169
2024,Jaffna,139
2008,Kaluthara,295
2009,Kaluthara,213
2010,Kaluthara,61
2011,Kaluthara,109
2012,Kaluthara,264
2013,Kaluthara,30
2014,Kaluthara,16
2015,Kaluthara,28
2016,Kaluthara,204
2017,Kaluthara,199
2018,Kaluthara,31
2019,Kaluthara,322
2020,Kaluthara,799
2021,Kaluthara,546
2022,Kaluthara,126
2023,Kaluthara,36
2024,Kaluthara,187
2008,Kandy,216
2009,Kandy,255
2010,Kandy,54
2011,Kandy,132
2012,Kandy,209
2013,Kandy,32
2014,Kandy,27
2015,Kandy,35
2016,Kandy,33
2017,Kandy,52
2018,Kandy,39
2019,Kandy,28
2020,Kandy,456
2021,Kandy,316
2022,Kandy,29
2023,Kandy,30
2024,Kandy,28
2015,Kegalle,677
2016,Kegalle,29
2017,Kegalle,104
2018,Kegalle,5
2019,Kegalle,34
2020,Kegalle,319
2021,Kegalle,197
2022,Kegalle,38
2023,Kegalle,19
2024,Kegalle,12
2008,Keppetipola,328
2009,Keppetipola,278
2010,Keppetipola,1049
2011,Keppetipola,433
2012,Keppetipola,532
2013,Keppetipola,357
2014,Keppetipola,72
2015,Keppetipola,470
2016,Keppetipola,367
2017,Keppetipola,536
2018,Keppetipola,597
2019,Keppetipola,121
2020,Keppetipola,749
2021,Keppetipola,165
2022,Keppetipola,30
2023,Keppetipola,32
2024,Keppetipola,39
2008,Kilinochchi,1352
2009,Kilinochchi,1352
2010,Kilinochchi,1352
2011,Kilinochchi,928
2012,Kilinochchi,924
2013,Kilinochchi,1004
2014,Kilinochchi,163
2015,Kilinochchi,141
2016,Kilinochchi,360
2017,Kilinochchi,801
2018,Kilinochchi,1310
2019,Kilinochchi,661
2020,Kilinochchi,1352
2021,Kilinochchi,690
2022,Kilinochchi,308
2023,Kilinochchi,182
2024,Kilinochchi,133
2008,Kurunegala,306
2009,Kurunegala,226
2010,Kurunegala,481
2011,Kurunegala,92
2012,Kurunegala,186
2013,Kurunegala,11
2014,Kurunegala,10
2015,Kurunegala,16
2016,Kurunegala,320
2017,Kurunegala,502
2018,Kurunegala,171
2019,Kurunegala,281
2020,Kurunegala,540
2021,Kurunegala,156
2022,Kurunegala,21
2023,Kurunegala,30
2024,Kurunegala,306
Year,Location,0
2008,Mannar,1352
2009,Mannar,1352
2010,Mannar,1352
2011,Mannar,849
2012,Mannar,837
2013,Mannar,1352
